18200	109550
18200	109583.3333
18206.3889	109581.9444
18207.5	109477.7778
18215.8333	109700.5556
18216.6667	109700
18220.5556	109510.2778
18223.8889	109552.2222
18229.7222	109528.3333
18233.3333	109533.3333
18233.3333	109616.6667
18233.8889	109703.8889
18236.6667	109625
18243.0556	109505
18243.6111	109690.2778
18245.2778	109373.8889
18246.6667	109559.7222
18250	109516.6667
18250	109583.3333
18257.7778	109689.4444
18260.5556	109712.7778
18263.0556	109580.8333
18263.0556	109679.7222
18265	109638.6111
18266.6667	109483.3333
18266.6667	109566.6667
18266.6667	109666.6667
18271.3889	109705.8333
18278.3333	109730.2778
18279.4444	109675.2778
18281.1111	109480.8333
18281.3889	109684.1667
18283.3333	109400
18283.8889	109569.7222
18283.8889	109705.5556
18284.4444	109661.6667
18296.9444	109611.6667
18302.2222	109210
18303.8889	109432.2222
18304.1667	109528.3333
18304.4444	109335.2778
18304.4444	109391.1111
18307.2222	109144.1667
18314.7222	109269.7222
18315.2778	109626.6667
18316.6667	109166.6667
18316.6667	109266.6667
18317.2222	109331.6667
18319.1667	109442.2222
18319.7222	109705
